Store_id,Store_name,City_id,Retailer_name,Retailer_category,Retailer_class,Pin_code,Schemes
STR-1,Managestore,CT-19,OurTown,Chemist,Platinum,500002,"SCH/18-Garnier40Off, SCH/12-Maybilline10Off"
STR-2,Store Supermarket,CT-17,Nexus,Chemist,Platinum,500003,"SCH/18-Garnier40Off, SCH/12-Maybilline10Off"
STR-3,Champion store,CT-25,AllStar,Chemist,Platinum,500004,"SCH/18-Garnier40Off, SCH/12-Maybilline10Off"
STR-4,Century store,CT-19,BlueFire,Chemist,Platinum,500005,"SCH/18-Garnier40Off, SCH/12-Maybilline10Off"
STR-5,Beam store,CT-4,Saffron,Chemist,Platinum,500006,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-6,Storewen,CT-2,AllAround,Chemist,Platinum,500007,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-7,Office store,CT-10,Fireside,Chemist,Platinum,500002,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-8,Store Basket,CT-25,OurTown,Chemist,Platinum,500003,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-9,Store Productions,CT-20,Nexus,Cosmetic,Platinum,500004,"SCH/12-Maybilline10Off, SCH/14-Revita20Off"
STR-10,Ashstore,CT-2,AllStar,Cosmetic,Gold,500005,"SCH/14-Revita20Off, SCH/18-Garnier40Off"
STR-11,Storebeam,CT-14,BlueFire,Cosmetic,Gold,500006,"SCH/14-Revita20Off, SCH/18-Garnier40Off"
STR-12,Discounts store,CT-4,Saffron,Cosmetic,Gold,500007,"SCH/14-Revita20Off, SCH/18-Garnier40Off"
STR-13,Plan store,CT-8,AllAround,Cosmetic,Gold,500002,"SCH/14-Revita20Off, SCH/18-Garnier40Off"
STR-14,Store Quipo,CT-11,Fireside,Cosmetic,Gold,500003,"SCH/10-DayCream20Off, SCH/20-Scrub20Off"
STR-15,Software store,CT-24,OurTown,Supermarket,Gold,500004,"SCH/10-DayCream20Off, SCH/20-Scrub20Off"
STR-16,Sound store,CT-22,Nexus,Supermarket,Gold,500005,"SCH/10-DayCream20Off, SCH/20-Scrub20Off"
